,Solution_was_found,Algorithm,Obstacles_rate,Solution_Lenght,Amount_of_explored_states
0,Yes,BFS,0.1,58,4899
1,Yes,DFS,0.1,654,5769
2,No,DFSLimited,0.1,0,1654
3,Yes,UniformCost,0.1,58,4899
4,Yes,BFS,0.1,18,498
5,Yes,DFS,0.1,902,3113
6,Yes,DFSLimited,0.1,66,971
7,Yes,UniformCost,0.1,18,498
8,Yes,BFS,0.1,106,7627
9,Yes,DFS,0.1,924,1458
10,No,DFSLimited,0.1,0,1553
11,Yes,UniformCost,0.1,106,7627
12,Yes,BFS,0.1,101,5769
13,Yes,DFS,0.1,1231,2906
14,No,DFSLimited,0.1,0,511
15,Yes,UniformCost,0.1,101,5769
16,Yes,BFS,0.1,60,3065
17,Yes,DFS,0.1,1414,2711
18,No,DFSLimited,0.1,0,1431
19,Yes,UniformCost,0.1,60,3065
20,Yes,BFS,0.1,24,745
21,Yes,DFS,0.1,462,4200
22,No,DFSLimited,0.1,0,1013
23,Yes,UniformCost,0.1,24,745
24,Yes,BFS,0.1,73,3834
25,Yes,DFS,0.1,1175,7047
26,No,DFSLimited,0.1,0,1214
27,Yes,UniformCost,0.1,73,3834
28,Yes,BFS,0.1,94,8099
29,Yes,DFS,0.1,314,4641
30,No,DFSLimited,0.1,0,1455
31,Yes,UniformCost,0.1,94,8099
32,Yes,BFS,0.1,114,8366
33,Yes,DFS,0.1,506,1175
34,No,DFSLimited,0.1,0,1676
35,Yes,UniformCost,0.1,114,8366
36,Yes,BFS,0.1,100,7796
37,Yes,DFS,0.1,1274,4078
38,No,DFSLimited,0.1,0,976
39,Yes,UniformCost,0.1,100,7796
40,Yes,BFS,0.1,68,2936
41,Yes,DFS,0.1,2152,5366
42,No,DFSLimited,0.1,0,1122
43,Yes,UniformCost,0.1,68,2936
44,Yes,BFS,0.1,9,114
45,Yes,DFS,0.1,517,8242
46,Yes,DFSLimited,0.1,63,487
47,Yes,UniformCost,0.1,9,114
48,Yes,BFS,0.1,88,6963
49,Yes,DFS,0.1,868,1532
50,No,DFSLimited,0.1,0,1319
51,Yes,UniformCost,0.1,88,6963
52,Yes,BFS,0.1,70,6499
53,Yes,DFS,0.1,1618,2871
54,No,DFSLimited,0.1,0,1281
55,Yes,UniformCost,0.1,70,6499
56,Yes,BFS,0.1,93,7813
57,Yes,DFS,0.1,2269,5720
58,No,DFSLimited,0.1,0,2488
59,Yes,UniformCost,0.1,93,7813
60,Yes,BFS,0.1,154,8606
61,Yes,DFS,0.1,1096,1173
62,No,DFSLimited,0.1,0,1266
63,Yes,UniformCost,0.1,154,8606
64,Yes,BFS,0.1,48,2779
65,Yes,DFS,0.1,56,8924
66,Yes,DFSLimited,0.1,56,153
67,Yes,UniformCost,0.1,48,2779
68,Yes,BFS,0.1,65,6307
69,Yes,DFS,0.1,939,1926
70,No,DFSLimited,0.1,0,2484
71,Yes,UniformCost,0.1,65,6307
72,Yes,BFS,0.1,47,3700
73,Yes,DFS,0.1,2247,5116
74,No,DFSLimited,0.1,0,1837
75,Yes,UniformCost,0.1,47,3700
76,Yes,BFS,0.1,76,4486
77,Yes,DFS,0.1,1218,1992
78,No,DFSLimited,0.1,0,955
79,Yes,UniformCost,0.1,76,4486
80,Yes,BFS,0.1,94,6586
81,Yes,DFS,0.1,2130,5535
82,No,DFSLimited,0.1,0,1033
83,Yes,UniformCost,0.1,94,6586
84,Yes,BFS,0.1,128,8818
85,Yes,DFS,0.1,900,3660
86,No,DFSLimited,0.1,0,1023
87,Yes,UniformCost,0.1,128,8818
88,Yes,BFS,0.1,34,1924
89,Yes,DFS,0.1,154,8774
90,No,DFSLimited,0.1,0,1755
91,Yes,UniformCost,0.1,34,1924
92,Yes,BFS,0.1,112,7644
93,Yes,DFS,0.1,1444,2924
94,No,DFSLimited,0.1,0,1178
95,Yes,UniformCost,0.1,112,7644
96,Yes,BFS,0.1,77,4710
97,Yes,DFS,0.1,543,6729
98,No,DFSLimited,0.1,0,1162
99,Yes,UniformCost,0.1,77,4710
100,Yes,BFS,0.1,74,6782
101,Yes,DFS,0.1,2120,3622
102,No,DFSLimited,0.1,0,1421
103,Yes,UniformCost,0.1,74,6782
104,Yes,BFS,0.1,57,3217
105,Yes,DFS,0.1,973,7215
106,No,DFSLimited,0.1,0,1534
107,Yes,UniformCost,0.1,57,3217
108,Yes,BFS,0.1,40,2115
109,Yes,DFS,0.1,410,8283
110,No,DFSLimited,0.1,0,1001
111,Yes,UniformCost,0.1,40,2115
112,Yes,BFS,0.1,84,7030
113,Yes,DFS,0.1,904,6434
114,No,DFSLimited,0.1,0,2062
115,Yes,UniformCost,0.1,84,7030
116,Yes,BFS,0.1,18,289
117,Yes,DFS,0.1,806,979
118,Yes,DFSLimited,0.1,66,735
119,Yes,UniformCost,0.1,18,289
