,Solution_was_found,Algorithm,Obstacles_rate,Amount_of_explored_states
0,Yes,BFS,0.1,3275
1,Yes,BFS,0.1,3607
2,Yes,BFS,0.1,5685
3,Yes,BFS,0.1,1814
4,Yes,BFS,0.1,2624
5,Yes,BFS,0.1,2803
6,Yes,BFS,0.1,6264
7,Yes,BFS,0.1,4811
8,Yes,BFS,0.1,7539
9,Yes,BFS,0.1,1552
10,Yes,BFS,0.1,1785
11,Yes,BFS,0.1,8509
12,Yes,BFS,0.1,1886
13,Yes,BFS,0.1,307
14,Yes,BFS,0.1,2440
15,Yes,BFS,0.1,7709
16,Yes,BFS,0.1,3384
17,Yes,BFS,0.1,1515
18,Yes,BFS,0.1,7782
19,Yes,BFS,0.1,6858
20,Yes,BFS,0.1,586
21,Yes,BFS,0.1,8491
22,Yes,BFS,0.1,3173
23,Yes,BFS,0.1,5902
24,Yes,BFS,0.1,8210
25,Yes,BFS,0.1,4716
26,Yes,BFS,0.1,4971
27,Yes,BFS,0.1,212
28,Yes,BFS,0.1,4694
29,Yes,BFS,0.1,692
30,Yes,DFS,0.1,1870
31,Yes,DFS,0.1,3509
32,Yes,DFS,0.1,6610
33,Yes,DFS,0.1,2681
34,Yes,DFS,0.1,6303
35,Yes,DFS,0.1,6223
36,Yes,DFS,0.1,7690
37,Yes,DFS,0.1,3119
38,Yes,DFS,0.1,6328
39,Yes,DFS,0.1,5992
40,Yes,DFS,0.1,1850
41,Yes,DFS,0.1,5986
42,Yes,DFS,0.1,7567
43,Yes,DFS,0.1,5269
44,Yes,DFS,0.1,2194
45,Yes,DFS,0.1,2881
46,Yes,DFS,0.1,6568
47,Yes,DFS,0.1,2868
48,Yes,DFS,0.1,787
49,Yes,DFS,0.1,7992
50,Yes,DFS,0.1,5018
51,Yes,DFS,0.1,5092
52,Yes,DFS,0.1,683
53,Yes,DFS,0.1,6465
54,Yes,DFS,0.1,8127
55,Yes,DFS,0.1,4114
56,Yes,DFS,0.1,140
57,Yes,DFS,0.1,4890
58,Yes,DFS,0.1,8933
59,Yes,DFS,0.1,1847
60,Yes,UniformCost,0.1,1022
61,Yes,UniformCost,0.1,7779
62,Yes,UniformCost,0.1,5146
63,Yes,UniformCost,0.1,2974
64,Yes,UniformCost,0.1,8547
65,Yes,UniformCost,0.1,5344
66,Yes,UniformCost,0.1,5895
67,Yes,UniformCost,0.1,7325
68,Yes,UniformCost,0.1,1251
69,Yes,UniformCost,0.1,377
70,Yes,UniformCost,0.1,6089
71,Yes,UniformCost,0.1,4553
72,Yes,UniformCost,0.1,2016
73,Yes,UniformCost,0.1,4605
74,Yes,UniformCost,0.1,3386
75,Yes,UniformCost,0.1,6763
76,Yes,UniformCost,0.1,8117
77,Yes,UniformCost,0.1,531
78,Yes,UniformCost,0.1,8970
79,Yes,UniformCost,0.1,8149
80,Yes,UniformCost,0.1,1086
81,Yes,UniformCost,0.1,4134
82,Yes,UniformCost,0.1,7928
83,Yes,UniformCost,0.1,6921
84,Yes,UniformCost,0.1,1195
85,Yes,UniformCost,0.1,5115
86,Yes,UniformCost,0.1,6570
87,Yes,UniformCost,0.1,5269
88,Yes,UniformCost,0.1,4935
89,Yes,UniformCost,0.1,2611
